system:index,ST_B10_max,ST_B10_mean,ST_B10_min,date,.geo
2020_01_01,301.14,297.5956003,292.86,01-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_02,-9999,-9999,-9999,02-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_03,307.36,304.8119572,302.64,03-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_04,-9999,-9999,-9999,04-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_05,305.56,302.3155393,297.16,05-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_06,300.64,300.64,300.64,06-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_07,301.62,298.2466583,292.62,07-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_08,306.52,304.030119,302.44,08-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_09,300.34,299.7667989,299.48,09-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_10,304.8,302.4442321,299.66,10-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_11,-9999,-9999,-9999,11-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_12,304.12,299.0088101,292.08,12-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_13,301.72,299.4933896,296.74,13-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_14,305.72,304.2702837,302.12,14-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_15,305.9,303.3176344,301.82,15-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_16,304.06,302.4514576,301.32,16-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_17,306.12,303.6799564,300.68,17-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_18,302.38,297.6985479,293.88,18-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_19,307.56,303.3299251,298.02,19-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_20,305.42,305.2695503,305.22,20-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_21,307.1,304.8819955,302.7,21-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_22,305.86,303.3603645,302.12,22-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_23,306.34,304.6354483,302.86,23-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_24,307.26,304.9780851,303.46,24-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_25,306.26,305.0003242,303.68,25-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_26,309.44,306.3294118,304.02,26-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_27,-9999,-9999,-9999,27-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_28,307.48,304.7097509,301.72,28-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_29,305.28,303.6254747,302.52,29-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_30,309.74,307.8585315,305.2,30-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_31,308.46,306.0771218,304.56,31-01-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_01,303.78,302.3165278,300.88,01-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_02,306.5,304.1457343,302.38,02-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_03,303.86,302.8625971,301.12,03-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_04,309,306.1641362,303.8,04-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_05,-9999,-9999,-9999,05-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_06,308.98,306.1992576,302.7,06-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_07,305.56,303.019927,301.82,07-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_08,308.2,305.6562267,302.86,08-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_09,306.4,301.9005028,293.96,09-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_10,303.24,301.7489063,300.44,10-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_11,308.18,305.318153,302.76,11-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_12,-9999,-9999,-9999,12-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_13,310.62,308.0281588,304.88,13-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_14,306.78,303.7099801,301.04,14-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_15,311.1,308.9680952,306.88,15-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_16,309.84,307.1452448,305.62,16-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_17,308.66,306.7925314,305.36,17-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_18,310.02,307.2897857,304.98,18-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_19,300.3,297.8011853,296.94,19-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_20,311.36,308.1604929,304.34,20-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_21,-9999,-9999,-9999,21-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_22,311.34,308.7898396,306.2,22-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_23,-9999,-9999,-9999,23-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_24,-9999,-9999,-9999,24-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_25,309.78,307.0019403,304.96,25-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_26,307.46,305.6297491,304.54,26-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_27,310.7,307.8223829,305.52,27-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_28,-9999,-9999,-9999,28-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_29,311.76,308.8465035,306.16,29-02-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_01,307.52,305.022408,303.74,01-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_02,-9999,-9999,-9999,02-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_03,308.2,302.4334935,297.82,03-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_04,305.06,302.9269596,298.64,04-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_05,310.02,306.3396741,297.02,05-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_06,-9999,-9999,-9999,06-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_07,311.32,301.9097825,294.7,07-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_08,-9999,-9999,-9999,08-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_09,311.02,305.4034737,291.96,09-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_10,309.82,306.6806695,302.72,10-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_11,312.08,309.4760615,304.98,11-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_12,312.52,309.1503401,306.82,12-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_13,310.88,309.4455052,307.32,13-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_14,315.24,312.0657971,309.3,14-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_15,-9999,-9999,-9999,15-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_16,315.14,312.608136,309.48,16-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_17,310.7,307.061363,304.9,17-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_18,315.34,312.8252696,309.44,18-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_19,313.96,310.7933813,309.1,19-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_20,-9999,-9999,-9999,20-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_21,314,309.4499707,306.08,21-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_22,309.14,307.5495561,305.68,22-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_23,312.78,307.5506755,300.94,23-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_24,-9999,-9999,-9999,24-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_25,313.44,308.2577843,302.98,25-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_26,311.58,308.9081104,303.58,26-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_27,314.3,310.5797109,300.86,27-03-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
