system:index,date,tropospheric_NO2_column_number_density,.geo
20190101T064159_20190107T084135,2019-01-01,6.0829083142100806E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190102T062258_20190108T083511,2019-01-02,4.208618535463778E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103T074528_20190109T094102,2019-01-03,6.965763739382845E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190104T072628_20190110T091526,2019-01-04,6.91234208432599E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190105T070728_20190111T090432,2019-01-05,8.442446991534596E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190106T064828_20190112T084045,2019-01-06,6.905997771508584E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190107T062928_20190113T084413,2019-01-07,6.40976919816296E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190108T075159_20190114T095154,2019-01-08,5.789987563562672E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190109T073259_20190115T092637,2019-01-09,7.377632280133473E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190110T071400_20190117T055555,2019-01-10,9.494474578417508E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190111T065501_20190117T084004,2019-01-11,1.2390619101102025E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190112T063601_20190118T082526,2019-01-12,9.934512451740988E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190113T075832_20190119T095405,2019-01-13,7.488396658250004E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190114T073934_20190120T091313,2019-01-14,7.172412120404923E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190115T072035_20190121T090529,2019-01-15,7.449193676771322E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190116T070136_20190122T145748,2019-01-16,7.860340092794576E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190117T064237_20190123T105416,2019-01-17,5.814499157403059E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190118T062339_20190124T083050,2019-01-18,4.824264374292816E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190119T074611_20190125T092751,2019-01-19,7.242386996712947E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190120T072713_20190126T091933,2019-01-20,7.554208301990737E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190121T070815_20190127T090540,2019-01-21,6.782319307889886E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190122T064916_20190128T085833,2019-01-22,1.372069077380292E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190123T063019_20190129T084407,2019-01-23,1.0178727886119307E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190124T075251_20190130T094112,2019-01-24,6.798973560268924E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190125T073353_20190131T094309,2019-01-25,4.8167894882872436E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190126T071456_20190201T092413,2019-01-26,8.929332588193458E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190127T065558_20190204T032640,2019-01-27,7.807420684978699E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190130T074036_20190205T092312,2019-01-30,8.149751394199501E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190131T072139_20190206T093619,2019-01-31,7.71064950147807E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190201T070242_20190207T100152,2019-02-01,1.1707641740422441E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190202T064345_20190208T090114,2019-02-02,8.226059462330937E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190203T062448_20190209T083700,2019-02-03,3.454929389934413E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
